arena;exp;maze;starving_cond;habituation_cond;first_choice;tot_time_blue;tot_time_oran;tot_time_neutral;rate_interactions_blue;rate_interactions_oran;max_consec_time_blue;max_consec_time_oran;tot_time_reinforc_obj
4;4;0;fed;unused;orange;793.5916799999999;319.87095999999997;2486.31832;0.6446280991735537;0.35537190082644626;48.789199999999994;19.481199999999998;
4;4;1;fed;unused;blue;555.1279999999999;2746.4699199999995;298.18303999999995;0.4423076923076923;0.5576923076923077;40.479519999999994;652.39608;
4;4;2;fed;unused;blue;454.23951999999997;640.0867199999999;2505.4547199999997;0.5454545454545454;0.45454545454545453;27.308159999999997;52.030319999999996;
6;4;0;fed;unused;orange;1518.46472;0.03448;2081.28176;1.0;0.0;1518.43024;0.03448;
6;4;1;fed;unused;orange;1516.8096799999998;1906.2268;176.74447999999998;0.42857142857142855;0.5714285714285714;920.4091199999999;827.2786399999999;
6;4;2;fed;unused;blue;603.4689599999999;702.0472799999999;2294.2647199999997;0.42;0.58;309.90623999999997;130.16199999999998;
8;4;0;fed;unused;orange;528.54392;618.70912;2452.52792;0.4358974358974359;0.5641025641025641;130.40336;159.2976;
8;4;1;fed;unused;orange;206.53519999999997;2173.58472;1219.66104;0.038461538461538464;0.9615384615384616;206.53519999999997;915.30608;
8;4;2;fed;unused;orange;15.895279999999998;1599.49272;1984.39296;0.3333333333333333;0.6666666666666666;5.93056;1206.4207199999998;
2;3;0;fed;unused;blue;653.3270399999999;1741.17104;1205.28288;0.46153846153846156;0.5384615384615384;202.74239999999998;508.13175999999993;
2;3;1;fed;unused;orange;791.9366399999999;1988.7029599999998;819.14136;0.34408602150537637;0.6559139784946236;206.67311999999998;416.72527999999994;
2;3;2;fed;unused;blue;1903.8821599999999;1024.71112;671.1876799999999;0.6046511627906976;0.3953488372093023;347.38599999999997;625.4671999999999;
7;3;0;fed;unused;orange;1245.90032;863.5515999999999;1490.3290399999998;0.5217391304347826;0.4782608695652174;484.8577599999999;199.67368;
7;3;1;fed;unused;orange;501.82192;2371.6723199999997;726.28672;0.3522012578616352;0.6477987421383647;21.894799999999996;657.15432;
7;3;2;fed;unused;blue;908.3756;1577.59792;1113.8074399999998;0.4576271186440678;0.5423728813559322;76.71799999999999;168.46928;
1;3;0;fed;unused;blue;1135.1505599999998;1173.2509599999998;1291.37944;0.5283018867924528;0.4716981132075472;323.9396;215.3276;
1;3;1;fed;unused;orange;1385.0960799999998;1791.4773599999999;423.20752;0.452991452991453;0.5470085470085471;205.01807999999997;258.59999999999997;
1;3;2;fed;unused;orange;1183.4570399999998;973.9910399999999;1442.33288;0.4959349593495935;0.5040650406504065;222.08567999999997;134.50647999999998;
0;3;0;fed;unused;orange;1397.6812799999998;1464.3311199999998;737.76856;0.55;0.45;798.4878399999999;660.36096;
0;3;1;fed;unused;orange;1005.19544;2428.73672;165.84879999999998;0.40425531914893614;0.5957446808510638;238.36023999999998;322.93967999999995;
0;3;2;fed;unused;orange;783.9372799999999;1234.6943199999998;1581.14936;0.22448979591836735;0.7755102040816326;362.69512;412.82903999999996;
3;3;0;fed;unused;orange;748.42288;969.5776;1881.78048;0.5;0.5;39.789919999999995;31.618159999999996;
3;3;1;fed;unused;orange;1200.5246399999999;2314.91824;84.33807999999999;0.44285714285714284;0.5571428571428572;302.59648;434.58592;
3;3;2;fed;unused;orange;729.2175199999999;1579.4598399999998;1291.1036;0.35526315789473684;0.6447368421052632;100.30232;191.32951999999997;
5;3;0;fed;unused;orange;643.9484799999999;782.9718399999999;2172.86064;0.5161290322580645;0.4838709677419355;79.20056;142.33344;
5;3;1;fed;unused;orange;667.8775999999999;2055.14592;876.75744;0.35507246376811596;0.644927536231884;107.95687999999998;393.07199999999995;
5;3;2;fed;unused;blue;894.8249599999999;806.0734399999999;1898.8825599999998;0.5196078431372549;0.4803921568627451;143.7816;242.35992;
4;3;0;fed;unused;blue;1034.02072;968.0604799999999;1597.6997599999997;0.51;0.49;238.22231999999997;162.91799999999998;
4;3;1;fed;unused;blue;1104.8426399999998;2232.51104;262.42728;0.4339622641509434;0.5660377358490566;188.12287999999998;923.9605599999999;
4;3;2;fed;unused;orange;620.3986399999999;1220.3161599999999;1759.0661599999999;0.4263565891472868;0.5736434108527132;131.78256;179.15807999999998;
6;3;0;fed;unused;orange;788.1783199999999;510.89016;2300.7124799999997;0.4496124031007752;0.5503875968992248;92.68224;30.687199999999997;
6;3;1;fed;unused;blue;506.71807999999993;2178.1705599999996;914.8923199999999;0.34408602150537637;0.6559139784946236;76.71799999999999;623.2259999999999;
6;3;2;fed;unused;blue;600.71056;2101.17672;897.8936799999999;0.2535211267605634;0.7464788732394366;164.29719999999998;827.0717599999999;
8;3;0;fed;unused;orange;487.09896;567.2994399999999;2545.3825599999996;0.49056603773584906;0.5094339622641509;24.204959999999996;37.065999999999995;
8;3;1;fed;unused;orange;864.89632;1687.7270399999998;1047.1576;0.375;0.625;54.719759999999994;30.687199999999997;
8;3;2;fed;unused;blue;47.272079999999995;1974.0489599999999;1578.4599199999998;0.0125;0.9875;21.99824;357.86791999999997;
